,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
72,ViT-B-16,commonpool_l_text_s1b_b8k,OpenCLIP,38.09311721,13.66666667,13.10355182,27.58818306,20.24326672,9.62962963,72.06878575,82.60742155,64.83153555,64.84901219,41.99941629,7,44.4,30.16793283,68.2,53.38,56.05,49.86294352,37.9733822,56.3,41.77396641
73,ViT-B-16,commonpool_l_basic_s1b_b8k,OpenCLIP,37.4058703,7.666666667,13.76679064,26.87272453,21.37271937,11.85185185,71.65300867,83.22614844,62.70743872,64.70585394,37.65406056,5.75,43,28.60055978,67.8,52.48,51.576,48.0051037,37.05276114,55.4,40.54027989
74,ViT-B-16,commonpool_l_s1b_b8k,OpenCLIP,37.70736646,5.333333333,12.99320776,24.55088864,19.50477845,6.666666667,70.13780009,79.92495405,63.50062797,62.81983566,41.98285959,4.25,34.82,22.21911236,57.1,41.84,45.902,46.83713659,35.78102656,45.96,32.02955618
75,ViT-B-16-plus-240,laion400m_e32,OpenCLIP,51.68643682,19,20.73825036,31.34654192,24.89139878,17.77777778,76.74778133,89.27543405,69.29860653,69.79507639,43.35009123,10.25,58.56,40.99160336,86.4,68.08,69.194,62.17615198,43.67978293,72.48,54.53580168
76,ViT-L-14,commonpool_xl_clip_s13b_b90k,OpenCLIP,40.82910842,16,16.08901114,33.05945233,25.45612511,16.2962963,78.17770271,87.91660332,68.04050601,67.91036612,41.47282313,6.25,60.44,42.71891244,86.4,68.88,76.394,69.7885206,41.45816622,73.42,55.79945622
77,ViT-L-14,commonpool_xl_laion_s13b_b90k,OpenCLIP,40.38523924,23.66666667,15.94543039,33.51427378,27.36750652,22.96296296,80.39410935,88.87999106,67.92871518,68.49712362,40.94008104,9.75,63.52,46.74930028,87.8,74.9,75.472,68.00561522,43.35267498,75.66,60.82465014
78,ViT-L-14,commonpool_xl_s13b_b90k,OpenCLIP,37.43119787,12,14.53445388,30.63658656,22.37185056,9.62962963,74.45528802,85.27868694,68.40556702,65.37606737,41.55932545,6,54.38,38.49260296,81.7,64.66,72.306,67.13268279,38.97322111,68.04,51.57630148
79,ViT-L-14,laion400m_e32,OpenCLIP,51.86242975,22,21.29167118,31.99424281,25.32580365,18.51851852,78.28193682,90.29362602,67.24031576,69.42357325,42.04629096,9,59.7,42.97081168,87.5,70.18,72.754,65.03951514,43.93986739,73.6,56.57540584
80,convnext_base_w,laion2b_s13b_b82k,OpenCLIP,41.39671607,17,16.79619672,31.767191,24.41355343,18.51851852,79.9950429,89.55646358,67.28362557,69.46774826,41.47597279,8.75,60.66,42.84686126,87.7,72.14,70.782,62.82479187,42.2017524,74.18,57.49343063
81,convnext_base_w,laion2b_s13b_b82k_augreg,OpenCLIP,43.80631941,23.33333333,16.36735086,32.09359854,25.67332754,19.25925926,78.73883608,88.75853657,68.31138857,68.02618323,40.56952859,7.25,61.44,43.03478609,87.3,72.38,71.466,63.404851,42.68230516,74.37,57.70739304
82,convnext_base_w,laion_aesthetic_s13b_b82k,OpenCLIP,45.42130722,20.33333333,15.9150583,31.51085833,25.4995656,22.96296296,80.30927249,89.96629508,68.07954081,69.1266837,40.44555552,8.25,61.24,43.56257497,88.9,73.04,70.992,61.7277435,43.15170278,75.07,58.30128749
83,convnext_base_w_320,laion_aesthetic_s13b_b82k,OpenCLIP,40.77544105,21.66666667,14.42203087,32.25662476,25.76020851,22.96296296,81.07006845,90.12273053,67.45947203,69.29914172,39.11897692,10,61.04,43.87844862,90.5,74.04,71.68,60.27417267,42.90952704,75.77,58.95922431
84,ViT-B-16-SigLIP-384,webli,OpenCLIP,39.05464391,31,16.10282283,35.54334023,27.88879235,20.74074074,80.80457174,88.31784536,69.34329942,67.45371648,40.79578513,11,67.78,49.94002399,92.7,78.48,78.498,67.75232144,44.00379652,80.24,64.210012
85,ViT-S-CLIP,yfcc15m,SLIP,38.59461973,10,11.94117182,17.9414257,15.55169418,6.666666667,67.49165071,78.54633119,61.269232,66.53847774,41.71201963,4.25,24.16,14.67812875,42.9,27.96,32.9,32.16005886,35.04194078,33.53,21.31906437
86,ViT-S-SLIP,yfcc15m,SLIP,40.77208189,10.66666667,13.62312837,20.81816323,18.50564726,5.925925926,70.06563273,81.058291,62.61802498,67.78838762,40.91835588,7.5,29,19.71211515,53.4,36.16,40.056,37.1624985,36.6883588,41.2,27.93605758
87,ViT-B-CLIP,yfcc15m,SLIP,39.8663138,10,13.35457343,19.84194454,17.20243267,7.407407407,69.0377669,79.82386922,63.56904057,67.60529571,41.95085822,5.5,27.5,17.5089964,50.5,32.78,37.724,34.24952769,36.26329187,39,25.1444982
88,ViT-B-SLIP,yfcc15m,SLIP,42.69576574,9.666666667,14.69096629,23.00434103,19.98262381,11.85185185,70.34283287,82.34388216,61.74926014,68.27914048,40.14296682,7.25,34.52,23.19072371,59.4,41.36,45.22,39.75199196,37.66669149,46.96,32.27536186
89,ViT-L-CLIP,yfcc15m,SLIP,38.46428254,6,12.99081144,21.63487536,18.50564726,10.37037037,70.09910725,80.18288824,64.36690756,68.28596657,42.10772098,5,28.36,19.19232307,51.3,35.24,40.156,36.24418961,36.5007148,39.83,27.21616154
